product_id,product_name,price
001,Задрать,326.99
002,Военный,384.22
003,Расстегнуть,809.27
004,Ставить,986.09
005,Белье,964.1
006,Близко,431.96
007,Банк,573.01
008,Видимо,296.19
009,Головной,771.28
010,Приличный,557.71
011,За,477.07
012,Падать,889.08
013,Через,878.01
014,Настать,426.89
015,Казнь,25.8
016,Один,187.61
017,Неожиданно,878.63
018,Адвокат,755.49
019,Что,128.35
020,Заплакать,800.89
021,Команда,524.41
022,Запретить,472.29
023,Славный,342.26
024,Танцевать,163.67
025,Зачем,314.38
026,Рота,397.27
027,Ход,839.68
028,Инвалид,116.08
029,Бровь,352.62
030,Штаб,346.67
031,При,486.45
032,Смелый,344.72
033,Процесс,23.92
034,Космос,317.97
035,Левый,672.99
036,Вообще,534.88
037,Беспомощный,696.83
038,Грустный,558.45
039,Табак,225.39
040,Хотеть,662.63
041,Полюбить,893.01
042,Боец,532.46
043,Еврейский,948.06
044,Механический,185.81
045,Непривычный,72.55
046,Вскинуть,933.33
047,Степь,650.44
048,Пища,868.81
049,Чем,436.71
050,Дрогнуть,458.97
